y=sin(x)             x                       y                     polinomeps
 1.57500000000000E+000    1.57079633917531E+000    1.57066765103128E+000    1.28688144035216E-004
 1.62000000000000E+000    1.57081617808583E+000    1.57071585496170E+000    1.00323124133217E-004
 1.66500000000000E+000    1.57093559742982E+000    1.57086283020455E+000    7.27672252691658E-005
 1.71000000000000E+000    1.57124546504762E+000    1.57119889067277E+000    4.65743748567782E-005
 1.75500000000000E+000    1.57183626318687E+000    1.57181406420117E+000    2.21989857083216E-005
 1.80000000000000E+000    1.57279790530691E+000    1.57279790530691E+000    4.44089209850063E-016
 1.84500000000000E+000    1.57421955403473E+000    1.57423930799059E+000    1.97539558570714E-005
 1.89000000000000E+000    1.57618944064112E+000    1.57622631917458E+000    3.68785334603494E-005
 1.93500000000000E+000    1.57879468640249E+000    1.57884595335157E+000    5.12669490817519E-005
 1.98000000000000E+000    1.58212112621008E+000    1.58218400899235E+000    6.28827822639622E-005
 2.02500000000000E+000    1.58625313478361E+000    1.58632488723859E+000    7.17524549833648E-005
 2.07000000000000E+000    1.59127345584128E+000    1.59135141338332E+000    7.79575420399859E-005
 2.11500000000000E+000    1.59726303457208E+000    1.59734466161837E+000    8.16270462873359E-005
 2.16000000000000E+000    1.60430085374939E+000    1.60438378350555E+000    8.29297561593112E-005
 2.20500000000000E+000    1.61246377381785E+000    1.61254584060555E+000    8.20667876977321E-005
 2.25000000000000E+000    1.62182637727726E+000    1.62190564167616E+000    7.92643988960507E-005
 2.29500000000000E+000    1.63246081767847E+000    1.63253558482915E+000    7.47671506835524E-005
 2.34000000000000E+000    1.64443667353710E+000    1.64450550501333E+000    6.88314762333775E-005
 2.38500000000000E+000    1.65782080746083E+000    1.65788252716929E+000    6.17197084635812E-005
 2.43000000000000E+000    1.67267723077546E+000    1.67273092538011E+000    5.36946046578724E-005
 2.47500000000000E+000    1.68906697392384E+000    1.68911198832082E+000    4.50143969730199E-005
 2.52000000000000E+000    1.70704796290011E+000    1.70708389128835E+000    3.59283882396255E-005
 2.56500000000000E+000    1.72667490196930E+000    1.72670157507321E+000    2.66731039100243E-005
 2.61000000000000E+000    1.74799916290994E+000    1.74801663191311E+000    1.74690031695679E-005
 2.65500000000000E+000    1.77106868100371E+000    1.77107719874888E+000    8.51774517252047E-006
 2.70000000000000E+000    1.79592785798294E+000    1.79592785798294E+000    4.44089209850063E-016
 2.74500000000000E+000    1.82261747213220E+000    1.82260954592046E+000    7.92621173828501E-006
 2.79000000000000E+000    1.85117459572626E+000    1.85115946905456E+000    1.51266716985621E-005
 2.83500000000000E+000    1.88163251997139E+000    1.88161102833697E+000    2.14916344174476E-005
 2.88000000000000E+000    1.91402068760202E+000    1.91399375155717E+000    2.69360448585942E-005
 2.92500000000000E+000    1.94836463326930E+000    1.94833323393415E+000    3.13993351472863E-005
 2.97000000000000E+000    1.98468593184211E+000    1.98465108700681E+000    3.48448353033604E-005
 3.01500000000000E+000    2.02300215472538E+000    2.02296489589059E+000    3.72588347934411E-005
 3.06000000000000E+000    2.06332683428395E+000    2.06328818495073E+000    3.86493332182880E-005
 3.10500000000000E+000    2.10566943644417E+000    2.10563039192471E+000    3.90445194660139E-005
 3.15000000000000E+000    2.15003534152866E+000    2.14999685050945E+000    3.84910192017252E-005
 3.19500000000000E+000    2.19642583336293E+000    2.19638878141224E+000    3.70519506942557E-005
 3.24000000000000E+000    2.24483809667617E+000    2.24480329184749E+000    3.48048286715752E-005
 3.28500000000000E+000    2.29526522280110E+000    2.29523338344583E+000    3.18393552771745E-005
 3.33000000000000E+000    2.34769622366176E+000    2.34766796852564E+000    2.82551361281413E-005
 3.37500000000000E+000    2.40211605402055E+000    2.40209189466231E+000    2.41593582401833E-005
 3.42000000000000E+000    2.45850564193970E+000    2.45848597747481E+000    1.96644648862154E-005
 3.46500000000000E+000    2.51684192739544E+000    2.51682704153479E+000    1.48858606516811E-005
 3.51000000000000E+000    2.57709790896669E+000    2.57708796928886E+000    9.93967782969563E-006
 3.55500000000000E+000    2.63924269850366E+000    2.63923775787069E+000    4.94063297296066E-006
 3.60000000000000E+000    2.70324158366585E+000    2.70324158366585E+000    1.33226762955019E-015
 3.64500000000000E+000    2.76905609820263E+000    2.76906087447905E+000    4.77627642370138E-006
 3.69000000000000E+000    2.83664409983430E+000    2.83665338914052E+000    9.28930622556834E-006
 3.73500000000000E+000    2.90595985557577E+000    2.90597330437556E+000    1.34487997902610E-005
 3.78000000000000E+000    2.97695413433026E+000    2.97697130874938E+000    1.71744191113099E-005
 3.82500000000000E+000    3.04957430656543E+000    3.04959470348730E+000    2.03969218697253E-005
 3.87000000000000E+000    3.12376445087019E+000    3.12378750995928E+000    2.30590890897275E-005
 3.91500000000000E+000    3.19946546717647E+000    3.19949058360640E+000    2.51164299291951E-005
 3.96000000000000E+000    3.27661519641666E+000    3.27664173407676E+000    2.65376601022993E-005
 4.00500000000000E+000    3.35514854637446E+000    3.35517585132777E+000    2.73049533077163E-005
 4.05000000000000E+000    3.43499762347442E+000    3.43502503744222E+000    2.74139678002605E-005
 4.09500000000000E+000    3.51609187024318E+000    3.51611874389615E+000    2.68736529647207E-005
 4.14000000000000E+000    3.59835820816429E+000    3.59838391400762E+000    2.57058433295043E-005
 4.18500000000000E+000    3.68172118563721E+000    3.68174513028711E+000    2.39446498979667E-005
 4.23000000000000E+000    3.76610313074101E+000    3.76612476640201E+000    2.16356609952229E-005
 4.27500000000000E+000    3.85142430849350E+000    3.85144314346048E+000    1.88349669745236E-005
 4.32000000000000E+000    3.93760308228731E+000    3.93761869031235E+000    1.56080250381940E-005
 4.36500000000000E+000    4.02455607917611E+000    4.02456810755840E+000    1.20283822884204E-005
 4.41000000000000E+000    4.11219835867636E+000    4.11220653495292E+000    8.17627656157782E-006
 4.45500000000000E+000    4.20044358474275E+000    4.20044772187884E+000    4.13713608438116E-006
 4.50000000000000E+000    4.28920420056921E+000    4.28920420056921E+000    8.88178419700125E-016
 4.54500000000000E+000    4.37839160586150E+000    4.37838746174429E+000    4.14411721649799E-006
 4.59000000000000E+000    4.46791633622256E+000    4.46790813232870E+000    8.20389386291254E-006
 4.63500000000000E+000    4.55768824428730E+000    4.55767615490979E+000    1.20893775070741E-005
 4.68000000000000E+000    4.64761668224027E+000    4.64760096859451E+000    1.57136457579199E-005
 4.72500000000000E+000    4.73761068534646E+000    4.73759169091936E+000    1.89944270996278E-005
 4.77000000000000E+000    4.82757915612384E+000    4.82755730046575E+000    2.18556580859897E-005
 4.81500000000000E+000    4.91743104878462E+000    4.91740681983099E+000    2.42289536291906E-005
 4.86000000000000E+000    5.00707555357185E+000    5.00704949860379E+000    2.60549680621836E-005
 4.90500000000000E+000    5.09642228061819E+000    5.09639499599253E+000    2.72846256619275E-005
 4.95000000000000E+000    5.18538144295444E+000    5.18535356275378E+000    2.78802006574708E-005
 4.99499999999999E+000    5.27386403829753E+000    5.27383622206921E+000    2.78162283278149E-005
 5.03999999999999E+000    5.36178202924971E+000    5.36175494901927E+000    2.70802304376261E-005
 5.08499999999999E+000    5.44904852154419E+000    5.44902284830377E+000    2.56732404206872E-005
 5.12999999999999E+000    5.53557793997635E+000    5.53555432986066E+000    2.36101156936286E-005
 5.17499999999999E+000    5.62128620166429E+000    5.62126528203727E+000    2.09196270199996E-005
 5.21999999999999E+000    5.70609088628793E+000    5.70607324197071E+000    1.76443172170693E-005
 5.26499999999999E+000    5.78991140296199E+000    5.78989756283761E+000    1.38401243852115E-005
 5.30999999999999E+000    5.87266915340502E+000    5.87265957763761E+000    9.57576741633659E-006
 5.35499999999999E+000    5.95428769107403E+000    5.95428275917931E+000    4.93189471573175E-006
 5.39999999999999E+000    6.03469287594262E+000    6.03469287594264E+000    1.15463194561016E-014
 5.44499999999999E+000    6.11381302460925E+000    6.11381814349717E+000    5.11888791443482E-006
 5.48999999999999E+000    6.19157905543158E+000    6.19158937116247E+000    1.03157308926072E-005
 5.53499999999999E+000    6.26792462839318E+000    6.26794010360300E+000    1.54752098211475E-005
 5.57999999999999E+000    6.34278627941948E+000    6.34280675705804E+000    2.04776385626104E-005
 5.62499999999999E+000    6.41610354887073E+000    6.41612874991464E+000    2.52010439076855E-005
 5.66999999999999E+000    6.48781910395218E+000    6.48784862734071E+000    2.95233885267976E-005
 5.71499999999999E+000    6.55787885479340E+000    6.55791217970434E+000    3.33249109409906E-005
 5.75999999999999E+000    6.62623206396172E+000    6.62626855451529E+000    3.64905535752413E-005
 5.80499999999999E+000    6.69283144918828E+000    6.69287036163535E+000    3.89124470707714E-005
 5.84999999999999E+000    6.75763327909840E+000    6.75767377151494E+000    4.04924165380294E-005
 5.89499999999999E+000    6.82059746175273E+000    6.82063860622554E+000    4.11444728039001E-005
 5.93999999999999E+000    6.88168762581967E+000    6.88172842306936E+000    4.07972496923037E-005
 5.98499999999999E+000    6.94087119421492E+000    6.94091059056128E+000    3.93963463647396E-005
 6.02999999999999E+000    6.99811945005895E+000    6.99815635659099E+000    3.69065320446893E-005
 6.07499999999999E+000    7.05340759481884E+000    7.05344090858827E+000    3.33137694230601E-005
 6.11999999999999E+000    7.10671479851688E+000    7.10674342552876E+000    2.86270118721177E-005
 6.16499999999999E+000    7.15802424190412E+000    7.15804712163342E+000    2.28797293004845E-005
 6.20999999999999E+000    7.20732315051359E+000    7.20733928163102E+000    1.61311174240453E-005
 6.25499999999999E+000    7.25460282052430E+000    7.25461128746997E+000    8.46694567790962E-006
 6.29999999999999E+000    7.29985863638341E+000    7.29985863638343E+000    2.39808173319034E-014
 6.34499999999999E+000    7.34309008015122E+000    7.34308095022974E+000    9.12992148904834E-006
 6.38999999999999E+000    7.38430073254981E+000    7.38428197604939E+000    1.87565004186041E-005
 6.43499999999999E+000    7.42349826571325E+000    7.42346957779924E+000    2.86879140061203E-005
 6.47999999999999E+000    7.46069442765421E+000    7.46065571924502E+000    3.87084091935108E-005
 6.52499999999999E+000    7.49590501847823E+000    7.49585643801421E+000    4.85804640204535E-005
 6.56999999999999E+000    7.52914985839388E+000    7.52909181083321E+000    5.80475606746234E-005
 6.61499999999999E+000    7.56045274758366E+000    7.56038590999502E+000    6.68375886361261E-005
 6.65999999999999E+000    7.58984141801670E+000    7.58976675112677E+000    7.46668899305192E-005
 6.70499999999999E+000    7.61734747730105E+000    7.61726623235046E+000    8.12449505946944E-005
 6.74999999999999E+000    7.64300634468907E+000    7.64292006495487E+000    8.62797342060517E-005
 6.79499999999999E+000    7.66685717936551E+000    7.66676769572157E+000    8.94836439382374E-005
 6.83999999999999E+000    7.68894280116357E+000    7.68885222107465E+000    9.05800889228203E-005
 6.88499999999999E+000    7.70930960386936E+000    7.70922029324974E+000    8.93106196251381E-005
 6.92999999999999E+000    7.72800746129036E+000    7.72792201870641E+000    8.54425839431628E-005
 6.97499999999999E+000    7.74508962627794E+000    7.74501084903540E+000    7.87772425390188E-005
